n,p,algo,avg_time,avg_size,avg_ratio_vs_opt,trials
193,0.3,couplage_maximal,0.006961754249999963,190.2,nan,20
193,0.3,glouton_degmax,0.0037076916500000225,179.0,nan,20
385,0.3,couplage_maximal,0.030496052250000894,382.3,nan,20
385,0.3,glouton_degmax,0.015115224900000257,369.45,nan,20
578,0.3,couplage_maximal,0.06639543759999995,575.4,nan,20
578,0.3,glouton_degmax,0.03323162925000016,561.2,nan,20
770,0.3,couplage_maximal,0.11909481660000036,767.3,nan,20
770,0.3,glouton_degmax,0.06243325414999958,753.1,nan,20
963,0.3,couplage_maximal,0.19261211454999944,960.3,nan,20
963,0.3,glouton_degmax,0.09766007494999976,945.95,nan,20
1155,0.3,couplage_maximal,0.28728742499999954,1152.2,nan,20
1155,0.3,glouton_degmax,0.1554655646000004,1137.4,nan,20
1348,0.3,couplage_maximal,0.43935828345000016,1344.7,nan,20
1348,0.3,glouton_degmax,0.23011005005000024,1329.9,nan,20
1540,0.3,couplage_maximal,0.6175660770499996,1536.6,nan,20
1540,0.3,glouton_degmax,0.28069782904999985,1521.8,nan,20
1733,0.3,couplage_maximal,0.694406602050001,1729.9,nan,20
1733,0.3,glouton_degmax,0.3533284747499984,1714.3,nan,20
1925,0.3,couplage_maximal,0.8690699894500007,1921.5,nan,20
1925,0.3,glouton_degmax,0.434294549949999,1906.7,nan,20
